Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DU LỊCH ASIA'S TROPICAL GROUP,ASIA'S TROPICAL GROUP INVESTMENT AND TOURISM JOINT STOCK COMPANY,2803129251,"Thửa đất số 76, Tờ bản đồ số 07, Thôn Đanh, Xã Thành Lâm, Huyện Bá Thước, Tỉnh Thanh Hoá, Việt Nam",NGUYỄN VĂN CHUYÊN,,,,,
CÔNG TY TNHH NGUYÊN THƠ,NGUYÊN THƠ COMPANY LIMITED,3301733782,"02 Lê Trọng Bật, Phường Phú Bài, Thị xã Hương Thuỷ, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ THỊ THI THƠ,0349822077,2024-08-22,Chi cục Thuế khu vực Hương Phú,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI PLC,3301733863,,0795514443,,Chi cục Thuế khu vực Phú Lộc - Nam Đông,,,,
DOANH NGHIỆP TƯ NHÂN VẬN TẢI KHẢ DI,3301733870,,0977812249,,Chi cục Thuế Thành phố Huế,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG HỢP CP MINH PHƯƠNG,CP MINH PHUONG GENERAL TRADING SERVICES COMPANY LIMITED,"Kiệt 1 tổ 9 Nam Thượng, Phường Phú Thượng, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",,,2024-08-26,Chi cục Thuế Thành phố Huế,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG THÀNH NAM GTA,3301733849,,0337794534,,Chi cục Thuế khu vực Phú Lộc - Nam Đông,,,,
CÔNG TY TNHH THIẾT KẾ VÀ XÂY LẮP ĐẠI HƯNG PHÁT,DAI HUNG PHAT DESIGN AND CONSTRUCTION COMPANY LIMITED,3301733856,"Camellia 1-03, Eco Garden, Phường Thủy Vân, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN TUÂN ĐẰNG,0914224446 0963524,2024-08-26,Chi cục Thuế Thành phố Huế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH BÌNH AN BCT,BINH AN BCT LIMITED LIABILITY COMPANY,3301733888,"Tổ 10, Phường Phú Bài, Thị xã Hương Thuỷ, Tỉnh Thừa Thiên Huế, Việt Nam",HOÀNG HUY BÌNH,0982098203,2024-08-26,Chi cục Thuế khu vực Hương Phú,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN TN TÍN NGHĨA,CÔNG TY TNHH TN TÍN NGHĨA,"03 Vũ Xuân Chiêm, Phường Xuân Phú, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",,,2024-08-27,Chi cục Thuế Thành phố Huế,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH QUỐC TOÀN AB,QUỐC TOÀN AB COMPANY LIMITED,3301733912,"Tổ dân phố Ngọc Anh, Phường Phú Thượng, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",BÙI VĂN QUANG,0979229829,2024-08-27,Chi cục Thuế Thành phố Huế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN TRUYỀN THÔNG HT ACADEMY,HT ACADEMY MEDIA ONE MEMBER LIMITED LIABILITY COMPANY,3301733895,"05 Lê Thánh Tôn, Phường Đông Ba, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",HOÀNG THỊ NGỌC TRÂM,0932575444,2024-08-27,Chi cục Thuế Thành phố Huế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CHI NHÁNH THỪA THIÊN HUẾ - CÔNG TY TNHH SAO BIỂN THÁI BÌNH DƯƠNG,1001274686-001,,0326179888,,Chi cục Thuế Thành phố Huế,,,,
CÔNG TY TNHH DỊCH VỤ ĂN UỐNG THÔN VỸ,3301733937,,0935888080,,Cục Thuế Tỉnh TT-Huế,,,,
CÔNG TY TNHH METTITECH GROUP VIỆT NAM - CHI NHÁNH HUẾ,0318424716-001,,0363500192,,Chi cục Thuế Thành phố Huế,,,,
CÔNG TY TNHH THƯƠNG MẠI LÔI VŨ,3301733969,,0778044515,,Cục Thuế Tỉnh TT-Huế,,,,
CÔNG TY TNHH GIÁO DỤC ĐÀO TẠO QUỐC TẾ TRƯỜNG AN,TRUONG AN INTERNATIONAL EDUCATION AND TRAINING LIMITED COMPANY,"Tầng 5 và 7, Số 28 Lý Thường Kiệt, Phường Phú Nhuận, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",,,2024-08-29,Chi cục Thuế Thành phố Huế,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH HOLA BOUTIQUE,3301733983,,0905850935,,Chi cục Thuế Thành phố Huế,,,,
CÔNG TY TNHH XÂY DỰNG VÀ CƠ KHÍ SV STEEL,SV STEEL CONSTRUCTION AND MECHANICAL COMPANY LIMITED,"Tổ 10, Khu quy hoạch Thuỷ Thanh, Phường Thủy Dương, Thị xã Hương Thuỷ, Tỉnh Thừa Thiên Huế, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Hương Phú,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH PHÁT TRIỂN KARATEDO HOÀNG PHÚC,3301734017,,,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN TỔ CHỨC SỰ KIỆN XUÂN TRANG,3301734024,,0357645845,,Chi cục Thuế Thành phố Huế,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG VẬN TẢI ANH ĐẠT,CÔNG TY TNHH TM DV XD VT ANH ĐẠT,"89A Hiền Sỹ, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Hương Điền,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG VÀ KHAI THÁC KHOÁNG SẢN TÂN HOÀNG SƠN,3301733944,,0934993434,,Chi cục Thuế khu vực Hương Điền,,,,
CHI NHÁNH CÔNG TY TNHH H & M HENNES & MAURITZ VIỆT NAM TẠI THỪA THIÊN HUẾ,BRANCH OF H & M HENNES & MAURITZ VIETNAM LIMITED LIABILITY COMPANY IN THUA THIEN HUE,0314014395-005,"Lô T112+T128-b, Tầng 1 (Tầng trệt), Trung tâm thương mại AEON MALL Huế, số 08, đường Võ Nguyên Giáp, Phường An Đông, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",PHÙNG THỊ NGỌC HIỀN,+84 8 3824 5100,2024-08-12,Cục Thuế Tỉnh TT-Huế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN LOGISTICS CHÂN MÂY,CHAN MAY LOGISTICS JOINT STOCK COMPANY,3301734056,"Thôn Phú Hải, Xã Lộc Vĩnh, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ VĂN PHONG,0868400486,2024-09-05,Cục Thuế Tỉnh TT-Huế,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY LẮP THIẾT BỊ NK MIỀN TRUNG,NK MIEN TRUNG EQUIPMENT CONSTRUCTION COMPANY LIMITED,3301734063,"44 Tôn Thất Cảnh, Phường An Đông, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",TRÀ THỊ THU,0934899099,2024-09-05,Chi cục Thuế Thành phố Huế,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG VÀ CÔNG NGHIỆP HTC,HTC CONSTRUCTION AND INDUSTRY LIMITED LIABILITY COMPANY,"Thôn Nhất Phong, Xã Phong Chương, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",,,,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG NHẬT MINH,1201688236,,0343 199 941,,Chi cục Thuế Thành phố Mỹ Tho,,,,
CÔNG TY TNHH XUẤT NHẬP KHẨU NÔNG SẢN KIM SHENG,KIM SHENG AGRICULTURAL PRODUCTS IMPORT EXPORT COMPANY LIMITED,"Ấp Hội Nghĩa, Xã Hội Xuân, Huyện Cai Lậy, Tỉnh Tiền Giang, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Cai Lậy,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP APPCONNECT,APPCONNECT TECHNOLOGY AND SOLUTIONS LIMITED COMPANY,1201688204,"11/2 Huỳnh Tịnh Của, Phường 7, Thành phố Mỹ Tho, Tỉnh Tiền Giang, Việt Nam",TRẦN HOÀNG VŨ,0901210284,2024-08-29,Chi cục Thuế Thành phố Mỹ Tho,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SKY LUX,1201688243,,0979899073,,Chi cục Thuế Thành phố Mỹ Tho,,,,
CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN KHANG THÔNG,0303534709-001,,0919229029,,Cục Thuế Tỉnh Tiền Giang,,,,
CÔNG TY TNHH THƯƠNG MẠI NÔNG NGHIỆP KIẾN TẠO TƯƠNG LAI,FUTURE CREATION AGRICULTURAL TRADING COMPANY LIMITED,1201688250,"Ấp Long Hoà A, Xã Đạo Thạnh, Thành phố Mỹ Tho, Tỉnh Tiền Giang, Việt Nam",PHẠM THỊ MỘNG TUYỀN,0903888395,2024-08-30,Chi cục Thuế Thành phố Mỹ Tho,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SPECTRA VISION GREENS,SPECTRA VISION GREENS COMPANY LIMITED,1201688275,"Tổ 9, Ấp Tân Thuận B, Xã Bình Đức, Huyện Châu Thành, Tỉnh Tiền Giang, Việt Nam",TRẦN THỊ HƠN,0907326427,2024-09-02,Chi cục Thuế khu vực Châu Thành - Tân Phước,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG TỔNG HỢP MẠNH PHÁT TG,MANH PHAT TG GENERAL CONSTRUCTION INVESTMENT COMPANY LIMITED,1201688268,"Số 87, Quốc lộ 1A, Tổ 1, Khu phố Mỹ Thuận, Phường Nhị Mỹ, Thị Xã Cai Lậy, Tỉnh Tiền Giang, Việt Nam",NGUYỄN THIỆN MẠNH NAM,0786 939 135,2024-09-01,Chi cục Thuế khu vực Cai Lậy,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH TJDO DIAMOND,TJDO DIAMOND COMPANY LIMITED,"Ấp Tân Xuân, Xã Tân Hội Đông, Huyện Châu Thành, Tỉnh Tiền Giang, Việt Nam",,,2024-08-28,Chi cục Thuế khu vực Châu Thành - Tân Phước,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TRÁCH NHIỆM HỮU HẠN DỊCH VỤ THƯƠNG MẠI XÂY DỰNG KHANG THÀNH,1201688211,,0772100001,,Cục Thuế Tỉnh Tiền Giang,,,,
DOANH NGHIỆP TƯ NHÂN KINH DOANH XE GẮN MÁY HƯNG PHÁT,1201688282,,0985568663,,Chi cục Thuế Thành phố Mỹ Tho,,,,
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MINH THƯ ABC - TRANG TRẠI GÒ CÔNG TÂY,0317587700-001,,0983917666,,Chi cục Thuế khu vực Gò Công Tây - Chợ Gạo,,,,
CHI NHÁNH TIỀN GIANG - CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU HẢI TÂM,CHI NHÁNH CTY XNK HẢI TÂM,"Đường 208, Ấp Bình Cách, Xã Tân Bình Thạnh, Huyện Chợ Gạo, Tỉnh Tiền Giang, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực Gò Công Tây - Chợ Gạo,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THU TUYẾT,0312408651-002,,02733785786,,Chi cục Thuế khu vực Cai Lậy,,,,
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TOÀN LỘC,CHI NHÁNH CÔNG TY TNHH SX TM DV TOÀN LỘC,"Số 115, ấp Thạnh Hiệp, Xã Thạnh Trị, Huyện Gò Công Tây, Tỉnh Tiền Giang, Việt Nam",,,2024-08-16,Chi cục Thuế KV Gò Công - Gò Công Đông - Tân Phú Đông,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH HOKKAIDO MEKONG - CHI NHÁNH 1,1301131079-001,,02733975789,,Chi cục Thuế Thành phố Mỹ Tho,,,,
CHI NHÁNH CÔNG TY TNHH NHÀ ĐẤT ĐĂNG ĐĨNH,1201665013-001,,0987220969,,Chi cục Thuế khu vực Cai Lậy,,,,
CÔNG TY TNHH THƯƠNG MẠI SANDS,SANDS TRADING COMPANY LIMITED,1201688317,"Ấp Thạnh Hiệp, Xã An Thạnh Thủy, Huyện Chợ Gạo, Tỉnh Tiền Giang, Việt Nam",PHẠM VĂN SÁNG,+84344765697,2024-09-04,Chi cục Thuế khu vực Gò Công Tây - Chợ Gạo,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SẢN XUẤT NHẬP KHẨU ĐẦU TƯ TMDV THỰC PHẨM VĂN PHỤC,1201688324,,0896310511,,Chi cục Thuế khu vực Gò Công Tây - Chợ Gạo,,,,
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI - DỊCH VỤ NAM NGUYỄN 995,1201688331,,0918779995,,Chi cục Thuế khu vực Cai Lậy,,,,
CÔNG TY TNHH CÀ PHÊ HỒ BƠI PHƯƠNG THẢO,1201688349,,0939936905,,Chi cục Thuế Thành phố Mỹ Tho,,,,
CÔNG TY TNHH CÔNG NGHỆ NÔNG NGHIỆP TESTA VIỆT NAM,1201688356,,0914 918 540,,Chi cục Thuế khu vực Châu Thành - Tân Phước,,,,
CÔNG TY TNHH MTV XÂY DỰNG PHƯỚC LỘC,1201688370,,0919804424,,Chi cục Thuế Huyện Cái Bè,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ DỊCH VỤ NÔNG NGHIỆP KIM PHÁT NÔNG,CTY TNHH TM&DV NÔNG NGHIỆP KIM PHÁT NÔNG,"Ấp Mỹ Lương, Xã Long Tiên, Huyện Cai Lậy, Tỉnh Tiền Giang, Việt Nam",,,,,,,
CÔNG TY TNHH TRẤU CHÂU THỊ CHI TIỀN GIANG,1201688388,,,,,,,,
CÔNG TY TNHH VẠN HƯNG PHÁT TV,2100690689,,0989910819,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY TNHH TM DV SẮT THÉP TRƯỜNG SƠN TV,2100690671,,0965604439,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY CP KỸ NGHỆ SẮT - NHÔM KÍNH KTV,2100690696,,0983635837,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY TNHH LUẬT QUỐC TẾ NHƯ Ý,NHU Y INTERNATIONAL LAW COMPANY LIMITED,2100690720,"Số 44 Ấp Long Hưng 2, Xã Hòa Minh, Huyện Châu Thành, Tỉnh Trà Vinh, Việt Nam",HỒ DUY KHOA,0914394796,2024-08-20,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV YADEA TRÀ VINH,2100690664,,02943667997,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY TNHH PHOTOCOPY DIỆU HUY,2100690745,,0795435558,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY TNHH GIÀY DA - AN PHÁT,2100690777,,0399077709,,Chi cục Thuế khu vực Cầu Ngang - Trà Cú,,,,
DOANH NGHIỆP TƯ NHÂN HUỲNH VĂN TRIỆU,2100690784,,0977820542,,Chi cục Thuế khu vực Cầu Ngang - Trà Cú,,,,
CÔNG TY TNHH TƯ VẤN XÂY DỰNG LONG TOÀN,2100690801,,0396726076,,Chi cục Thuế khu vực Duyên Hải,,,,
CÔNG TY TNHH LUXURY 86,2100690791,,0925797777,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY TNHH MTV GIÀY LISHENG,2100690819,,0333502402,,Chi cục Thuế khu vực Tiểu Cần - Cầu Kè,,,,
CÔNG TY TNHH BẢO VỆ BÌNH AN 24H,2100690826,,0979172222,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
DOANH NGHIỆP TƯ NHÂN CUNG ỨNG THỦY HẢI SẢN QUÂN HUY,2100690865,,0368522266,,Chi cục Thuế khu vực Duyên Hải,,,,
CÔNG TY TNHH DỊCH VỤ MÔI TRƯỜNG XANH TRÀ VINH,2100690858,,0912108999,,Cục Thuế Tỉnh Trà Vinh,,,,
CÔNG TY TNHH PHÁT TRIỂN TÀI NĂNG TRẺ TAEKWONDO WIN-MT,2100690833,,0939694828,,Chi cục Thuế Huyện Càng Long,,,,
CÔNG TY TNHH MTV THIÊN PHÚ DH,2100690840,,0907356726,,Chi cục Thuế khu vực Duyên Hải,,,,
DOANH NGHIỆP TƯ NHÂN MUA BÁN HẢI SẢN ÂU MỊNH,2100690897,,0815505543,,Chi cục Thuế khu vực Duyên Hải,,,,
CÔNG TY TNHH MTV BỒI DƯỠNG KIẾN THỨC KIM LONG,2100690600,,0366711787,,Chi cục Thuế khu vực Cầu Ngang - Trà Cú,,,,
CÔNG TY TNHH TRÍ HUY TV,"TRI HUY TV CO.,LTD",2100690872,"Đường Tỉnh lộ 913, ấp Láng Cháo, Xã Dân Thành, Thị Xã Duyên Hải, Tỉnh Trà Vinh, Việt Nam",PHẠM THỊ MỸ TIÊN,0388 409 406,2024-08-30,Cục Thuế Tỉnh Trà Vinh,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN Y KHOA THUẬN PHƯỚC,2100690914,,0986077070,,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,,,
CÔNG TY TNHH MTV THÁI THỊNH TV,THAI THINH TV MTV LIMITED COMPANY,2100690907,"86/24 DT 915B ấp Trà Gút, Xã Đại Phước, Huyện Càng Long, Tỉnh Trà Vinh, Việt Nam",NGUYỄN NGỌC KHỞI,0798807712,2024-09-04,Chi cục Thuế Huyện Càng Long,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CHI NHÁNH CÔNG TY TNHH PCT VIỆT NAM SOLUTIONS TẠI TRÀ VINH,BRANCH OF PCT VIETNAM SOLUTIONS COMPANY LIMITED IN TRA VINH,"Lô E, đường số 4, Khu công nghiệp Long Đức, Xã Long Đức, Thành phố Trà Vinh, Tỉnh Trà Vinh, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực Thành phố Trà Vinh - Châu Thành,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH 1 CÔNG TY TRÁCH NHIỆM HỮU HẠN XUẤT NHẬP KHẨU DỪA THANH LAN,CN 1 CTY TNHH XNK DỪA THANH LAN,"Thửa đất số 20, tờ bản đồ số 15, Ấp Đức Mỹ, Xã Đức Mỹ, Huyện Càng Long, Tỉnh Trà Vinh, Việt Nam",,,2024-07-23,Chi cục Thuế Huyện Càng Long,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DỪA DONGYANG,2100690921,,,,,,,,
CÔNG TY TNHH SAN LẮP PHÚC KHANG,2100690939,,,,,,,,
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ TÂN MINH THÀNH,TAN MINH THANH CONSTRUCTION TRADING AND SERVICES COMPANY LIMITED,"Số nhà 271B, đường Tiên Lũng, tổ 5, Phường Ỷ La, Thành phố Tuyên Quang, Tỉnh Tuyên Quang, Việt Nam",,,2024-07-19,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KIM BẢO TIÊN,Kim Bao Tien Limited Company,5000901331,"Số 771, tổ 12, Phường An Tường, Thành phố Tuyên Quang, Tỉnh Tuyên Quang, Việt Nam",PHẠM QUỐC HUY,0377709999,2024-07-23,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV TƯ VẤN XÂY DỰNG HOÀNG GIA,5000901349,,0384181956,,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,,,
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TACY,5000901356,,0971525333,,Chi cục Thuế Huyện Sơn Dương,,,,
CÔNG TY TNHH SẢN XUẤT VÀ DỊCH VỤ NÔNG NGHIỆP VIỆT GREEN,VIET GREEN AGRICULTURAL PRODUCTION AND SERVICES COMPANY LIMITED,"Thôn Lũng, Xã Mỹ Bằng, Huyện Yên Sơn, Tỉnh Tuyên Quang, Việt Nam",,,2024-07-25,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC MAI HƯƠNG,MAI HUONG EDUCATION DEVELOPMENT LIMITED,5000901370,"Số 15, Tổ 5, Phường Nông Tiến, Thành phố Tuyên Quang, Tỉnh Tuyên Quang, Việt Nam",MAI CÔNG TÂM,0987621635,2024-07-25,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THIẾT BỊ PHÒNG CHÁY CHỮA CHÁY PHÚ SƠN TẠI TUYÊN QUANG,0108193156-003,,0982399789,,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,,,
CÔNG TY TNHH MAY XUẤT KHẨU & THỜI TRANG H&M,H&M GARMENT EXPORT & FASHION COMPANY LIMITED,"Thôn Đồng Mụng , Xã Văn Phú, Huyện Sơn Dương, Tỉnh Tuyên Quang, Việt Nam",,,2024-08-01,Chi cục Thuế Huyện Sơn Dương,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DN XÃ HỘI TÂM AN,TAM AN COMMUNITY ENTERPRISE,"Tổ 11, Phường An Tường, Thành phố Tuyên Quang, Tỉnh Tuyên Quang, Việt Nam",,,2024-08-02,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN Y TẾ & DƯỢC PHẨM TUYÊN QUANG,TUYEN QUANG MEDICAL & PHARMACEUTICAL JOINT STOCK COMPANY,5000901437,"Tổ dân phố Ba Trăng, Thị Trấn Tân Yên, Huyện Hàm Yên, Tỉnh Tuyên Quang, Việt Nam",ĐẶNG THỊ HIỀN,0971827993,2024-08-08,Chi cục Thuế khu vực Chiêm Hóa - Hàm Yên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TUYÊN HƯƠNG,TUYEN HUONG SERVICES AND TRADING COMPANY LIMITED,"Thôn Đồng Mán, Xã Lực Hành, Huyện Yên Sơn, Tỉnh Tuyên Quang, Việt Nam",,,2024-08-08,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH GIANG SƠN TVD,5000901451,,0354009723,,Chi cục Thuế Huyện Sơn Dương,,,,
CÔNG TY TNHH AN BẢO KHANG,AN BAO KHANG COMPANY LIMITED,"Tầng 2 Số nhà 50 Đường Trần Nhân Tông, Tổ 18, Phường Phan Thiết, Thành phố Tuyên Quang, Tỉnh Tuyên Quang, Việt Nam",,,2024-08-12,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THIẾT KẾ XÂY DỰNG MARTIN DECOR,5000901476,,0946665292,,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,,,
CÔNG TY TNHH PHÁT THUẬN TUYÊN QUANG,PHAT THUAN TUYEN QUANG COMPANY LIMITED,"Xóm 17, Xã Trung Môn, Huyện Yên Sơn, Tỉnh Tuyên Quang, Việt Nam",,,2024-08-15,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH CHUYỂN PHÁT BEE EXPRESS,5000901532,,0981770997,,Chi cục Thuế khu vực Na Hang - Lâm Bình,,,,
CÔNG TY TNHH MTV THƯƠNG MẠI VÀ DỊCH VỤ ĐẠI LÂM,5000901564,,0372991989,,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,,,
CÔNG TY TNHH MTV PHÁT TRIỂN CÔNG NGHỆ SỐ TÍN PHÁT,5000901613,,0337183553,,Chi cục Thuế khu vực Chiêm Hóa - Hàm Yên,,,,
CÔNG TY TNHH MTV CHIÊM MINH,5000901620,,0365622757,,Chi cục Thuế khu vực Chiêm Hóa - Hàm Yên,,,,
CÔNG TY TNHH THƯƠNG MẠI VIỆT PHÁP TUYÊN QUANG,5000901606,,0982 188946,,Chi cục Thuế khu vực thành phố Tuyên Quang - Yên Sơn,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG HÙNG ANH HT,HUNG ANH HT TRADING AND CONSTRUCTION COMPANY LIMITED,5000901677,"Số nhà 252, Tổ dân phố Vĩnh Hưng, Thị Trấn Vĩnh Lộc, Huyện Chiêm Hoá, Tỉnh Tuyên Quang, Việt Nam",TRIỆU VIỆT HÙNG,0988409700,2024-08-26,Chi cục Thuế khu vực Chiêm Hóa - Hàm Yên,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV THƯỢNG HÀ TUYÊN QUANG,5000901684,,0357726699,,Chi cục Thuế khu vực Na Hang - Lâm Bình,,,,
CÔNG TY TNHH TẬP ĐOÀN DTQ,DTQ GROUP COMPANY LIMITED,"Thôn Liên Thành, Xã Phúc Ứng, Huyện Sơn Dương, Tỉnh Tuyên Quang, Việt Nam",,,2024-08-28,Chi cục Thuế Huyện Sơn Dương,,Đang hoạt động (đã được cấp GCN ĐKT),
